GSE,Problem
GSE248127,Paper assets unavailable
GSE248127,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE248127,Missing Hospital/Center where samples were collected
GSE248127,Data type uncertain
GSE185119,Paper assets unavailable
GSE185119,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE185119,Missing Hospital/Center where samples were collected
GSE185119,Data type uncertain
GSE270174,Paper assets unavailable
GSE270174,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE270174,Missing Hospital/Center where samples were collected
GSE270174,Data type uncertain
GSE232692,Paper assets unavailable
GSE232692,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE232692,Missing Hospital/Center where samples were collected
GSE232692,Data type uncertain
GSE232692,No placenta/decidua detected
GSE232526,Paper assets unavailable
GSE232526,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE232526,Missing Hospital/Center where samples were collected
GSE232526,Data type uncertain
GSE247712,Paper assets unavailable
GSE247712,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE247712,Missing Hospital/Center where samples were collected
GSE247712,Data type uncertain
GSE270170,Paper assets unavailable
GSE270170,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE270170,Missing Hospital/Center where samples were collected
GSE270170,Data type uncertain
GSE214007,Paper assets unavailable
GSE214007,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE214007,Missing Hospital/Center where samples were collected
GSE214007,Data type uncertain
GSE248126,Paper assets unavailable
GSE248126,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE248126,Missing Hospital/Center where samples were collected
GSE248126,Data type uncertain
GSE230783,Paper assets unavailable
GSE230783,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE230783,Missing Hospital/Center where samples were collected
GSE230783,Data type uncertain
GSE230783,No placenta/decidua detected
GSE248093,Paper assets unavailable
GSE248093,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE248093,Missing Hospital/Center where samples were collected
GSE248093,Data type uncertain
GSE247711,Paper assets unavailable
GSE247711,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE247711,Missing Hospital/Center where samples were collected
GSE247711,Data type uncertain
GSE272695,Paper assets unavailable
GSE272695,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE272695,Missing Hospital/Center where samples were collected
GSE272695,Data type uncertain
GSE254847,Paper assets unavailable
GSE254847,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE254847,Missing Hospital/Center where samples were collected
GSE254847,Data type uncertain
GSE233557,Paper assets unavailable
GSE233557,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE233557,Missing Hospital/Center where samples were collected
GSE233557,Data type uncertain
GSE254845,Paper assets unavailable
GSE254845,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE254845,Missing Hospital/Center where samples were collected
GSE254846,Paper assets unavailable
GSE254846,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE254846,Missing Hospital/Center where samples were collected
GSE254846,Data type uncertain
GSE221691,Paper assets unavailable
GSE221691,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE221691,Missing Hospital/Center where samples were collected
GSE221691,Data type uncertain
GSE221691,No placenta/decidua detected
GSE236675,Paper assets unavailable
GSE236675,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE236675,Missing Hospital/Center where samples were collected
GSE236675,Data type uncertain
GSE212505,Paper assets unavailable
GSE212505,"Missing Pregnancy trimester (1st, 2nd, 3rd, term (for full-term delivery), premature (for early delivery due to complications)"
GSE212505,Missing Hospital/Center where samples were collected
GSE212505,Data type uncertain
