GSE,GSM,Title,Organism,Library Strategy,Library Source,Library Selection,Platform ID,Instrument Models,Tissue/Characteristics
GSE247712,GSM7899158,ATAC_201_oxLDL,Homo sapiens,ATAC-seq,genomic,other,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:oxLDL(25ug/ul) 5 days
GSE247712,GSM7899159,ATAC_137_oxLDL,Homo sapiens,ATAC-seq,genomic,other,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:oxLDL(25ug/ul) 5 days
GSE247712,GSM7899160,ATAC_KK_oxLDL,Homo sapiens,ATAC-seq,genomic,other,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:oxLDL(25ug/ul) 5 days
GSE247712,GSM7899161,ATAC_MG_oxLDL,Homo sapiens,ATAC-seq,genomic,other,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:oxLDL(25ug/ul) 5 days
GSE247712,GSM7899162,ATAC_201_veh,Homo sapiens,ATAC-seq,genomic,other,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:vehicle 5 days
GSE247712,GSM7899163,ATAC_137_veh,Homo sapiens,ATAC-seq,genomic,other,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:vehicle 5 days
GSE247712,GSM7899164,ATAC_KK_veh,Homo sapiens,ATAC-seq,genomic,other,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:vehicle 5 days
GSE247712,GSM7899165,ATAC_MG_veh,Homo sapiens,ATAC-seq,genomic,other,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:vehicle 5 days
GSE247712,GSM7899178,RNA_KK_veh,Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:vehicle 5 days
GSE247712,GSM7899179,RNA_201_oxLDL,Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:oxLDL(25ug/ul) 5 days
GSE247712,GSM7899180,RNA_137_oxLDL,Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:oxLDL(25ug/ul) 5 days
GSE247712,GSM7899181,RNA_KK_oxLDL,Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:oxLDL(25ug/ul) 5 days
GSE247712,GSM7899182,RNA_MG_oxLDL,Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:oxLDL(25ug/ul) 5 days
GSE247712,GSM7899183,RNA_201_veh,Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:vehicle 5 days
GSE247712,GSM7899184,RNA_137_veh,Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:vehicle 5 days
